"id","id_capa","id_tipo_servicio","direccion_web","nombre_capa","titulo_capa","estado","id_layer","usuario_registro","fecha_registro"
1439,1517,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_epci_dpto_rrhh_/wms?service=WMS&request=GetCapabilities","peru_epci_dpto_rrhh_","RIESGOS | PREPARACIÓN ANTE EMERG. (EPCI)-REG. | Componente de Recursos Humanos",True,1165,1,"2026-02-18 11:14:23.709268-05"
1440,1197,11,"https://geomininter.mininter.gob.pe/arcgis/services/ogc/lineabase/MapServer/WMSServer?request=GetCapabilities&service=WMS","2","Jurisdicciones comisarias basicas",True,41330,1,"2026-02-18 11:14:23.709268-05"
1441,745,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_pre_e_00_03_prov_minem_/wms?service=WMS&request=GetCapabilities","peru_pre_e_00_03_prov_minem_","SECTORES GOBIERNO NACIONAL | MINEM | Actividades - Provincial",True,702,1,"2026-02-18 11:14:23.709268-05"
1442,439,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_salud_maternidad_tnv_m10a14_/wms?service=WMS&request=GetCapabilities","peru_salud_maternidad_tnv_m10a14_","peru_salud_maternidad_tnv_m10a14",True,37198,1,"2026-02-18 11:14:23.709268-05"
1443,757,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_pre_e_00_04_prov_mindef_/wms?service=WMS&request=GetCapabilities","peru_pre_e_00_04_prov_mindef_","SECTORES GOBIERNO NACIONAL | MINDEF | Actividades y Proyectos - Provincial",True,714,1,"2026-02-18 11:14:23.709268-05"
1444,389,11,"https://www.idep.gob.pe/geoportal/services/IMAGENES/ORTOFOTO_PUNO/MapServer/WMSServer?request=GetCapabilities&service=WMS","0","PUNO ORTOFOTO ESCALA 1:1 000",True,42351,1,"2026-02-18 11:14:23.709268-05"
1445,1248,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_05_92/05_92_010_04_001_512_0000_00_00/ows?service=WMS&request=GetCapabilities","05_92_010_04_001_512_0000_00_00","LIMA - PRECIPITACION - 10 MES DE OCTUBRE",True,41641,1,"2026-02-18 11:14:23.709268-05"
1446,1053,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20240924224750___Moodle_Ene_Mar_2024/wms?service=WMS&request=GetCapabilities","20240924224750___Moodle_Ene_Mar_2024","20240924224750___Moodle_Ene_Mar_2024",True,40171,1,"2026-02-18 11:14:23.709268-05"
1447,1394,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20250619115911___Casos_al_11_de_agosto_del_2024/wms?service=WMS&request=GetCapabilities","20250619115911___Casos_al_11_de_agosto_del_2024","20250619115911___Casos_al_11_de_agosto_del_2024",True,41086,1,"2026-02-18 11:14:23.709268-05"
1448,1107,17,"http://giserver.proviasnac.gob.pe/arcgis/rest/services/PROVIAS/MTC_PeajesConcesionados/MapServer","","",False,0,1,"2026-02-18 11:14:23.709268-05"
1449,302,11,"https://ider.regionucayali.gob.pe/geoservicios/services/servicios_ogc/Peru_GRU_0802/MapServer/WMSServer?request=GetCapabilities&service=WMS","1","UnidadApro",True,42456,1,"2026-02-18 11:14:23.709268-05"
1450,1319,11,"https://sig.otass.gob.pe/server/services/IMAGENES/ORTOFOTO_EMAPAB_AR/MapServer/WMSServer?service=WMS&request=GetCapabilities","0","ORTOFOTO_EMAPAB_AR",True,41017,1,"2026-02-18 11:14:23.709268-05"
1451,783,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_pre_e_00_04_mvcs_/wms?service=WMS&request=GetCapabilities","peru_pre_e_00_04_mvcs_","SECTORES GOBIERNO NACIONAL | MVCS | Actividades y Proyectos - Departamentall",True,740,1,"2026-02-18 11:14:23.709268-05"
1452,1004,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20260204085023___Pacientes_INEN_Hombre_2024/wms?service=WMS&request=GetCapabilities","20260204085023___Pacientes_INEN_Hombre_2024","20260204085023___Pacientes_INEN_Hombre_2024",True,42175,1,"2026-02-18 11:14:23.709268-05"
1453,1160,17,"https://geoservidorperu.minam.gob.pe/arcgis/rest/services/Catalogo_Imagenes/MapServer","18","PNCB Imagenes SPOT 2013-2014",True,42346,1,"2026-02-18 11:14:23.709268-05"
1454,1504,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_idh_ingreso_fami_/wms?service=WMS&request=GetCapabilities","peru_idh_ingreso_fami_","Ingreso familiar per cápita (soles por mes)",True,8204,1,"2026-02-18 11:14:23.709268-05"
1455,1432,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20250619122546___Casos_al_31_de_marzo_del_2024/wms?service=WMS&request=GetCapabilities","20250619122546___Casos_al_31_de_marzo_del_2024","20250619122546___Casos_al_31_de_marzo_del_2024",True,41101,1,"2026-02-18 11:14:23.709268-05"
1456,1269,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_05_04/05_04_015_03_001_512_0000_00_00/ows?service=WMS&request=GetCapabilities","05_04_015_03_001_512_0000_00_00","CARACTERIZACION DE TEMP MAXIMA - 15 OTOÑO",True,41627,1,"2026-02-18 11:14:23.709268-05"
1457,512,11,"https://maps.inei.gob.pe/geoserver/T10Limites/ig_manzana/wms?service=WMS&request=GetCapabilities","ig_manzana","Manzana",True,42299,1,"2026-02-18 11:14:23.709268-05"
1458,1247,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_05_92/05_92_011_04_001_512_0000_00_00/ows?service=WMS&request=GetCapabilities","05_92_011_04_001_512_0000_00_00","LIMA - PRECIPITACION - 11 MES DE NOVIEMBRE",True,41642,1,"2026-02-18 11:14:23.709268-05"
1459,470,11,"https://maps.inei.gob.pe/geoserver/T10Limites/ig_cpoblado/wms?service=WMS&request=GetCapabilities","ig_cpoblado","Centro poblado (ámbito geográfico)",True,42294,1,"2026-02-18 11:14:23.709268-05"
