n_documento,f_documento,f_recepcion,url_documento,usuario_registro,fecha_registro
OFICIO N° 150-2025-ENAPU-GG,2025-08-27,2025-09-04,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/b459ef80-7718-40eb-9b99-8ae6873e0693/OFICIO%20N%c2%b0%20150-2025-ENAPU-GG.pdf,1,2026-03-27
OFICIO N° 000470-2021-MIDIS-FONCODES-DE,2021-08-06,2025-11-27,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/54fa8fd1-daa1-4348-8d63-39d775cccdcc/OFICIO%20N%c2%b0%20000470-2021-MIDIS-FONCODES-DE.pdf,1,2026-03-27
OFICIO N° 173-2022-ELPU-GG,2022-04-22,2022-04-22,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/c33108b3-8ea4-4534-9976-6503c4c0bb6d/OFICIO%20N%c2%b0%20173-2022-ELPU-GG.pdf,1,2026-03-27
RESOLUCIÓN DE GERENCIA GENERAL N° 115-2024 ENAPU SA-GG,2024-07-25,2026-02-11,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/2b3c5203-a789-4154-b119-88ace873b972/RESOLUCI%c3%93N%20DE%20GERENCIA%20GENERAL%20N%c2%b0%20115-2024%20ENAPU%20SA-GG.pdf,1,2026-03-27
ACUERDO N° 02-001-2023,2023-01-19,2023-07-25,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/f2ec7590-d2b2-43b7-a0ab-a2e535a42d9a/ACUERDO%20N%c2%b0%2002-001-2023.pdf,1,2026-03-27
RESOLUCIÓN N° 000011-2024-GG-EP,2024-05-27,2024-12-26,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/f6e62f4e-37c2-45fd-a03b-750e8f8a47a4/RESOLUCI%c3%93N%20N%c2%b0%20000011-2024-GG-EP.pdf,1,2026-03-27
OFICIO N° 000141-2025-GG-EP,2025-09-01,2025-09-12,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/70b9b102-a4a7-412e-bc7b-d1a3b5b75002/OFICIO%20N%c2%b0%20000141-2025-GG-EP.pdf,1,2026-03-27
ELCTO-GRI-0013-2024,2024-02-14,2024-02-14,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/143a8110-c67a-4771-b146-b29be1bcba60/ELCTO-GRI-0013-2024.pdf,1,2026-03-27
RESOLUCIÓN DE GERENCIA GENERAL N° G-0349-2022-ELSE,2022-11-30,2022-11-30,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/a32e5311-8d1f-4288-a6a8-804d94d092e0/RESOLUCI%c3%93N%20DE%20GERENCIA%20GENERAL%20N%c2%b0%20G-0349-2022-ELSE.pdf,1,2026-03-27
OFICIO N° 0164-2020-G.R. AMAZONAS-GR,2020-05-19,2020-03-16,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/ddb4aab0-1647-4fea-8fd3-5cb0c91f427c/OFICIO%20N%c2%b0%200164-2020-G.R.%20AMAZONAS-GR.pdf,1,2026-03-27
